Account,Token Account,Quantity,Percentage
BTwghLbrCkbDBr31EYkZ9xCPGeCTfoL2RDt72qeeW3Qd,943Wh7xM3vVpB1svtJc9GpFNoYQPL616SNFxZB9SSh3W,1360700.037902996,0.15
8psNvWTrdNTiVRNzAgsou9kETXNJm2SXZyaKuJraVRtf,3BGcixE3dY5KPMyPLsxCGsGbPTS9GXJPN58d3um4a9X1,1291374.530303821,0.14
D4dUffT3CjtDiobbWzxBDA2VbEsk6Dr4eA9CRDtaXcNr,3K7J6ZtPfyANzbSBFXuJ29htzHPrT88cReMqwxyv4jYf,1263974.337258125,0.14
EFPxVvUniaAsosy1bBanFhWM18LcE9KafsTbZG3ZskgU,2nbovHvpG1PkDStYhLSY1PyJ6uzaDwisqxsPFUhaJ3cT,1168467.489752804,0.13
8hTkaiZPiPwpEGE5DdtttBVRR5Ywdyc6eqSzwv71wPuz,4s2w6rka6mTyXbUVWTZR6yLdAkm5nrSXya6f6R1krB5J,1110962.936650766,0.12
AsjhvDxARuJALnv1bxZpzTu6Xs7APQHbaKZwdY2PXj65,CUb9iUYrimuCVBPamgHgDWXjvP56X5fMobNzFkQHVJMX,1095310.948200861,0.12
FCr8rj8GbutGoBS8cwKc9bEX4afioBqMN9orv8PViozi,3YutVXN6o2B4o3p4CyWgGr4SJUkHHkDzTDhE4ciV5E6M,1089609.352706506,0.12
D6pb6JDyA8pDATN6XXu26JbFa1tFK1yQKimGgk63nsR2,DxQ9DvhaGzA84kyhTZDZB7eXndXGPbCJnWwGGeSpJ6SN,1083827.345922463,0.12
AkJurmBsGkJQnKwWDfR7K7VHXFN37bx1uhhWmGgnijsv,CdGDirQ2hpgFCNjxSRfVoZujawtNi8eRKfwYQ6tUzGUV,1083479.933460179,0.12
3iFTfUx1vDw6ojAsMAExiQrZrTsFgdRycjNHnzAayAyJ,Gsd2cA4XgFtf7N4DF4gYYg8Uxopby1WkKNWyggpiwPWL,1081140.562201045,0.12
